epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,326.079,0.54849,0.41518,0.92252,0.98464,0.6287,0.71429,0.79958,0.54639,0.6287,0.71429,0.81372,0.56041,0.89955,3.89776,2.75187,1.87432,0.00085766,0.00085766,0.00085766
32,336.471,0.47639,0.41635,0.95026,0.95157,0.74281,0.82839,0.84625,0.55771,0.74281,0.82839,0.84625,0.5907,0.76689,3.55499,2.90218,1.55857,0.000873306,0.000873306,0.000873306
33,346.617,0.6432,0.65253,1.12114,1.03138,0.85345,0.57143,0.81288,0.58946,0.85345,0.57143,0.81733,0.63694,0.74066,1.159,2.84426,1.41993,0.00088816,0.00088816,0.00088816
34,356.454,0.37832,0.34346,0.84777,0.8963,0.85345,0.57143,0.81288,0.58946,0.85345,0.57143,0.81733,0.63694,0.74066,1.159,2.84426,1.41993,0.000902222,0.000902222,0.000902222
35,366.357,0.50118,0.80951,0.97492,0.93758,0.84546,0.78703,0.87265,0.64714,0.84546,0.78703,0.87265,0.67342,0.78195,1.12677,2.5988,1.40768,0.000915492,0.000915492,0.000915492
36,376.301,0.58353,0.67846,0.95945,0.98253,1,0.80993,0.87422,0.58264,1,0.80993,0.89583,0.59452,1.12087,2.15509,2.71506,1.82815,0.00092797,0.00092797,0.00092797
37,386.897,0.43418,0.39165,0.9675,0.97923,1,0.80993,0.87422,0.58264,1,0.80993,0.89583,0.59452,1.12087,2.15509,2.71506,1.82815,0.000939656,0.000939656,0.000939656
38,398.365,0.50914,0.45297,1.11356,1.01311,1,0.77897,0.8692,0.51798,1,0.77897,0.8692,0.5549,1.06775,2.58297,3.00013,1.89678,0.00095055,0.00095055,0.00095055
39,408.85,0.55865,0.52786,1.10764,0.98663,0.43252,0.42857,0.43453,0.31288,0.43252,0.42857,0.42783,0.32222,1.0098,2.80999,3.10323,1.77311,0.000960652,0.000960652,0.000960652
40,418.743,0.51247,0.38463,0.96609,1.00284,0.43252,0.42857,0.43453,0.31288,0.43252,0.42857,0.42783,0.32222,1.0098,2.80999,3.10323,1.77311,0.000969962,0.000969962,0.000969962
41,429.123,0.47335,1.35629,0.95717,0.9863,0.34351,0.57143,0.35725,0.20661,0.34531,0.57143,0.32086,0.18598,1.05723,2.68717,3.10047,1.62983,0.00097848,0.00097848,0.00097848
42,439.668,0.45246,0.49965,0.87381,0.94319,0.21751,0.28571,0.31659,0.17588,0.2387,0.31599,0.3423,0.17336,1.02999,3.36976,3.16522,1.67933,0.000986206,0.000986206,0.000986206
43,449.702,0.54103,0.47258,0.96989,1.0054,0.21751,0.28571,0.31659,0.17588,0.2387,0.31599,0.3423,0.17336,1.02999,3.36976,3.16522,1.67933,0.00099314,0.00099314,0.00099314
44,459.944,0.52845,0.48209,0.99935,0.9859,0.24194,0.4576,0.3722,0.19104,0.31774,0.60046,0.34641,0.15424,1.11914,4.93045,3.13218,2.10111,0.000999282,0.000999282,0.000999282
45,469.866,0.62982,0.61471,1.06009,1.09115,0.24194,0.4576,0.3722,0.19104,0.31774,0.60046,0.34641,0.15424,1.11914,4.93045,3.13218,2.10111,0.00100463,0.00100463,0.00100463
46,479.65,0.64071,0.3197,1.07949,1.11988,0.21536,0.42857,0.3217,0.19009,0.28715,0.57143,0.40359,0.21529,1.28912,5.25776,3.18965,2.01754,0.00100919,0.00100919,0.00100919
